iter	RMSE
0	14.52783113
1	14.0798167
2	13.63768686
3	13.22284702
4	12.81622116
5	12.47347694
6	12.1220575
7	11.81902475
8	11.52376086
9	11.21468915
10	10.8911208
11	10.58317171
12	10.3020014
13	10.03445184
14	9.80191057
15	9.595684833
16	9.360681569
17	9.148716752
18	8.965035447
19	8.770959826
20	8.613612926
21	8.457357145
22	8.318614604
23	8.166811292
24	8.034306589
25	7.930365834
26	7.795531789
27	7.676585453
28	7.569569181
29	7.453898825
30	7.364609342
31	7.266995815
32	7.166731981
33	7.094758694
34	7.003074707
35	6.950192004
36	6.874393505
37	6.80163898
38	6.748625305
39	6.684894445
40	6.638427746
41	6.579793139
42	6.523126071
43	6.46512266
44	6.411909843
45	6.357439093
46	6.304438142
47	6.26159606
48	6.226829664
49	6.185753543
50	6.149721548
51	6.111025931
52	6.074132046
53	6.032775159
54	6.000461919
55	5.97493427
56	5.950337343
57	5.923964481
58	5.898390849
59	5.878771891
60	5.857249401
61	5.837919389
62	5.820118206
63	5.79854096
64	5.777134455
65	5.75781201
66	5.741865497
67	5.722764676
68	5.705289672
69	5.687790811
70	5.673416624
71	5.656330684
72	5.641356042
73	5.629580501
74	5.618721997
75	5.606947656
76	5.595178298
77	5.581031909
78	5.566289553
79	5.554243216
80	5.541459183
81	5.533081769
82	5.51929091
83	5.510104754
84	5.49917631
85	5.491896353
86	5.480143339
87	5.473387566
88	5.462853017
89	5.456872895
90	5.449407605
91	5.442488664
92	5.433190336
93	5.42377844
94	5.416162148
95	5.4124719
96	5.408008507
97	5.398753314
98	5.390643347
99	5.383805342
100	5.375716977
101	5.369420467
102	5.36001776
103	5.350571164
104	5.34479663
105	5.33851475
106	5.334995364
107	5.328488811
108	5.322641706
109	5.31854453
110	5.3127666
111	5.308066751
112	5.303680094
113	5.300245457
114	5.297783695
115	5.293305074
116	5.28945095
117	5.284254023
118	5.281002053
119	5.276571244
120	5.272774572
121	5.268587195
122	5.265363014
123	5.261439645
124	5.254531224
125	5.250895504
126	5.247290417
127	5.246413448
128	5.242416023
129	5.237190964
130	5.23379073
131	5.230751423
132	5.228135282
133	5.226396836
134	5.223480136
135	5.221605994
136	5.218902216
137	5.215706671
138	5.209728909
139	5.20575031
140	5.202383082
141	5.197285225
142	5.193015335
143	5.189066654
144	5.186925164
145	5.184218644
146	5.181237277
147	5.177512916
148	5.171855568
149	5.168511313
150	5.164717169
151	5.16264898
152	5.160677104
153	5.157694606
154	5.15545171
155	5.152410256
156	5.150029064
157	5.147036
158	5.144697274
159	5.141498502
160	5.138449552
161	5.136450186
162	5.135787926
163	5.133640792
164	5.130791001
165	5.127244619
166	5.123613852
167	5.120030316
168	5.115386096
169	5.11332692
170	5.112040771
171	5.109414696
172	5.106720854
173	5.100268549
174	5.098490893
175	5.095959292
176	5.09436456
177	5.092005661
178	5.08800185
179	5.086302636
180	5.084551398
181	5.079271046
182	5.077124828
183	5.073626031
184	5.072920113
185	5.071288736
186	5.068765945
187	5.066036261
188	5.064673951
189	5.062724366
190	5.060417067
191	5.058205081
192	5.056754622
193	5.054564882
194	5.052555389
195	5.05119071
196	5.049956405
197	5.048059383
198	5.044667827
199	5.041265226
