iter	Passed	Remaining
0	0	142
1	1	129
2	1	128
3	2	128
4	3	123
5	3	119
6	4	116
7	4	113
8	5	112
9	5	111
10	6	109
11	6	108
12	7	106
13	7	104
14	8	103
15	8	102
16	9	100
17	9	99
18	10	98
19	10	97
20	11	95
21	11	94
22	12	94
23	12	94
24	13	96
25	14	95
26	14	94
27	15	93
28	15	92
29	16	91
30	16	90
31	17	89
32	17	88
33	18	88
34	18	87
35	18	86
36	19	85
37	19	84
38	20	83
39	20	82
40	21	81
41	21	81
42	21	80
43	22	79
44	22	78
45	23	77
46	23	77
47	24	76
48	24	75
49	24	74
50	25	74
51	25	73
52	26	73
53	26	72
54	27	72
55	28	72
56	28	71
57	29	71
58	29	70
59	30	70
60	30	69
61	30	68
62	31	68
63	31	67
64	32	67
65	32	66
66	33	65
67	33	65
68	33	64
69	34	63
70	34	63
71	35	62
72	35	62
73	36	61
74	36	61
75	37	60
76	37	60
77	38	59
78	38	58
79	38	58
80	39	57
81	39	57
82	40	56
83	40	56
84	41	55
85	41	55
86	42	54
87	43	54
88	43	54
89	44	53
90	44	53
91	44	52
92	45	52
93	45	51
94	46	51
95	46	50
96	47	50
97	47	49
98	48	49
99	48	48
100	48	47
101	49	47
102	49	46
103	50	46
104	50	45
105	51	45
106	51	44
107	52	44
108	52	43
109	52	43
110	53	42
111	53	42
112	54	41
113	54	41
114	55	40
115	55	40
116	56	39
117	56	39
118	57	39
119	58	38
120	58	38
121	58	37
122	59	37
123	59	36
124	60	36
125	60	35
126	61	35
127	61	34
128	62	34
129	62	33
130	63	33
131	64	32
132	64	32
133	65	32
134	65	31
135	66	31
136	66	30
137	67	30
138	67	29
139	68	29
140	68	28
141	69	28
142	69	27
143	69	27
144	70	26
145	71	26
146	71	25
147	72	25
148	72	24
149	73	24
150	73	23
151	74	23
152	74	22
153	75	22
154	75	21
155	76	21
156	77	21
157	77	20
158	78	20
159	79	19
160	79	19
161	80	18
162	80	18
163	81	17
164	82	17
165	82	16
166	83	16
167	83	15
168	84	15
169	84	14
170	85	14
171	85	13
172	86	13
173	86	12
174	87	12
175	87	11
176	88	11
177	88	10
178	89	10
179	89	9
180	90	9
181	91	9
182	91	8
183	91	7
184	92	7
185	92	6
186	93	6
187	93	5
188	94	5
189	94	4
190	95	4
191	95	3
192	96	3
193	96	2
194	97	2
195	97	1
196	97	1
197	98	0
198	98	0
199	99	0
