iter	Passed	Remaining
0	142	142684
1	143	71557
2	143	47841
3	144	36076
4	145	29025
5	146	24294
6	147	20901
7	147	18340
8	148	16345
9	148	14747
10	149	13447
11	150	12359
12	151	11469
13	151	10692
14	152	10001
15	152	9397
16	153	8867
17	154	8420
18	155	8010
19	155	7637
20	156	7293
21	156	6974
22	157	6684
23	157	6418
24	158	6175
25	159	5959
26	159	5754
27	160	5566
28	160	5389
29	161	5221
30	162	5068
31	162	4922
32	163	4787
33	163	4657
34	164	4534
35	165	4419
36	165	4310
37	166	4203
38	166	4101
39	168	4036
40	168	3951
41	169	3871
42	170	3789
43	170	3711
44	171	3636
45	171	3566
46	172	3500
47	173	3434
48	173	3373
49	174	3315
50	175	3256
51	175	3201
52	176	3148
53	176	3096
54	177	3047
55	177	2998
56	178	2952
57	179	2910
58	179	2866
59	180	2825
60	181	2795
61	182	2758
62	183	2722
63	183	2684
64	184	2648
65	184	2613
66	185	2580
67	185	2548
68	186	2513
69	186	2480
70	187	2451
71	187	2422
72	188	2393
73	189	2365
74	189	2335
75	189	2308
76	190	2283
77	191	2259
78	191	2235
79	192	2213
80	193	2190
81	193	2168
82	194	2147
83	195	2126
84	195	2107
85	196	2089
86	197	2069
87	197	2050
88	198	2032
89	199	2013
90	199	1996
91	200	1978
92	201	1960
93	201	1943
94	202	1926
95	202	1909
96	203	1893
97	203	1877
98	204	1861
99	205	1848
100	206	1837
101	207	1822
102	207	1808
103	208	1797
104	209	1783
105	209	1767
106	210	1753
107	211	1742
108	211	1731
109	212	1716
110	212	1704
111	213	1691
112	213	1679
113	214	1666
114	215	1655
115	215	1644
116	216	1633
117	217	1623
118	217	1613
119	218	1602
120	218	1590
121	219	1579
122	219	1568
123	220	1557
124	220	1546
125	221	1536
126	222	1527
127	222	1517
128	223	1508
129	223	1498
130	224	1488
131	224	1478
132	225	1469
133	226	1461
134	226	1453
135	227	1444
136	227	1435
137	228	1427
138	229	1420
139	229	1412
140	230	1404
141	231	1398
142	232	1391
143	232	1384
144	233	1376
145	233	1368
146	234	1361
147	235	1354
148	235	1347
149	236	1339
150	236	1332
151	237	1324
152	237	1317
153	238	1310
154	238	1302
155	239	1294
156	239	1288
157	240	1282
158	241	1276
159	241	1270
160	242	1264
161	243	1257
162	243	1251
163	244	1244
164	244	1239
165	245	1232
166	245	1226
167	246	1220
168	247	1215
169	247	1209
170	248	1204
171	249	1198
172	249	1193
173	250	1187
174	250	1182
175	251	1177
176	251	1171
177	252	1166
178	252	1160
179	253	1155
180	254	1149
181	254	1144
182	256	1144
183	257	1141
184	258	1136
185	258	1132
186	259	1127
187	259	1122
188	260	1117
189	260	1112
190	261	1107
191	261	1102
192	262	1097
193	262	1092
194	263	1087
195	263	1082
196	264	1077
197	264	1073
198	265	1068
199	265	1063
200	266	1059
201	267	1054
202	267	1050
203	268	1046
204	268	1042
205	269	1038
206	269	1033
207	271	1032
208	271	1029
209	272	1025
210	273	1021
211	273	1017
212	274	1013
213	274	1009
214	275	1005
215	275	1001
216	276	997
217	276	993
218	277	989
219	277	985
220	278	981
221	278	977
222	279	974
223	280	970
224	280	966
225	281	962
226	281	959
227	282	955
228	282	951
229	283	948
230	283	944
231	284	941
232	285	939
233	286	936
234	287	934
235	287	931
236	288	928
237	288	925
238	289	921
239	290	918
240	290	915
241	291	912
242	292	909
243	292	906
244	293	903
245	293	900
246	294	896
247	294	893
248	295	890
249	295	887
250	296	884
251	296	881
252	297	878
253	297	875
254	298	872
255	299	869
256	299	866
257	300	865
258	301	863
259	302	860
260	302	857
261	303	854
262	303	851
263	304	848
264	304	845
265	305	842
266	305	839
267	306	837
268	307	834
269	307	831
270	308	828
271	308	826
272	309	823
273	309	820
274	310	818
275	310	815
276	311	812
277	312	810
278	312	807
279	313	805
280	313	802
281	314	800
282	314	797
283	315	795
284	316	793
285	317	791
286	317	788
287	318	786
288	318	783
289	319	781
290	319	778
291	320	776
292	320	773
293	321	771
294	321	769
295	322	766
296	322	764
297	323	762
298	324	759
299	324	757
300	325	754
301	325	752
302	326	750
303	326	748
304	327	746
305	327	743
306	328	741
307	329	739
308	329	736
309	330	734
310	330	732
311	331	731
312	332	728
313	332	726
314	333	724
315	333	722
316	334	720
317	335	718
318	335	716
